x,y,z,focusItem,time
0.3709058,0.7083936,2.605238,Drumming Partner,00:03.567
0.2000825,0.01109307,1.347542,Floor,00:03.623
-0.0785387,0.6735858,0.7592512,Drum (Left),00:03.783
-0.07691005,0.7064239,0.7481041,Drum (Left),00:03.794
-0.06778112,0.6779276,0.7577773,Drum (Left),00:03.805
-0.07644323,0.6732352,0.7593702,Drum (Left),00:03.816
-0.07492051,0.6662478,0.7617421,Drum (Left),00:03.827
-0.07641762,0.6553162,0.7654529,Drum (Left),00:03.838
-0.06766924,0.6816548,0.7565122,Drum (Left),00:03.853
-0.07231192,0.6701826,0.7604064,Drum (Left),00:03.859
-0.07149986,0.724951,0.741815,Drum (Left),00:03.871
-0.08171263,0.6880478,0.754342,Drum (Left),00:03.882
-0.06208038,0.6456505,0.7687339,Drum (Left),00:03.893
-0.06631842,0.7187827,0.7439089,Drum (Left),00:03.906
-0.06539133,0.7489067,0.7336832,Drum (Left),00:03.916
-0.06140119,0.7553195,0.7315063,Drum (Left),00:03.927
-0.06452154,0.7514191,0.7328303,Drum (Left),00:03.938
-0.05528796,0.7556558,0.7313921,Drum (Left),00:03.949
-0.05691206,0.7435247,0.7355101,Drum (Left),00:03.959
-0.05232882,0.7447737,0.7350861,Drum (Left),00:03.971
-0.05664402,0.7585759,0.7304009,Drum (Left),00:03.983
-0.052939,0.7710568,0.7261642,Drum (Left),00:03.993
-0.05175436,0.7913779,0.7192662,Drum (Left),00:04.004
-0.04583855,0.8044096,0.7148425,Drum (Left),00:04.016
-0.04756406,0.8134815,0.711763,Drum (Left),00:04.026
-0.04905513,0.819548,0.7097037,Drum (Left),00:04.037
-0.05277078,0.8078322,0.7136806,Drum (Left),00:04.049
-0.04923926,0.8109266,0.7126303,Drum (Left),00:04.060
-0.04101634,0.8180294,0.7102192,Drum (Left),00:04.071
-0.04196638,0.8029877,0.7153251,Drum (Left),00:04.082
-0.01823577,1.051286,0.335016,,00:04.093
-0.04081815,0.7843853,0.7216398,Drum (Left),00:04.104
-0.04488291,0.7777625,0.723888,Drum (Left),00:04.116
-0.04352246,0.7751985,0.7247583,Drum (Left),00:04.126
-0.03916863,0.7705485,0.7263368,Drum (Left),00:04.137
-0.03261308,0.7786589,0.7235837,Drum (Left),00:04.149
-0.02537236,0.770847,0.7262354,Drum (Left),00:04.160
-0.02361318,0.7645254,0.7283814,Drum (Left),00:04.171
-0.02581494,0.7635013,0.728729,Drum (Left),00:04.182
-0.02750917,0.6408646,0.8944362,,00:04.193
-0.02872206,0.7525904,0.7324327,Drum (Left),00:04.206
-0.02891567,0.642059,0.8885934,,00:04.217
-0.04773057,0.01109302,1.770721,Floor,00:04.227
-0.0308629,0.01109302,1.766458,Floor,00:04.238
-0.00734984,0.01109303,1.721155,Floor,00:04.250
