Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
0.6450272,RightMiddleTom,0,0.0000000
1.757542,LeftHighTom,0,0.0000000
2.695053,RightMiddleTom,0,0.0000000
3.832565,LeftHighTom,0,0.0000000
4.745079,RightMiddleTom,0,0.0000000
5.85759,LeftHighTom,0,0.0000000
6.795105,RightMiddleTom,0,0.0000000
7.907616,LeftHighTom,0,0.0000000
8.845131,RightMiddleTom,0,0.0000000
9.957642,LeftHighTom,0,0.2625059
10.96391,RightMiddleTom,1,0.2250054
12.01392,LeftHighTom,1,0.2125052
13.00143,RightMiddleTom,1,0.2125052
14.0702,LeftHighTom,0,0.2625059
15.07646,RightMiddleTom,1,0.2125052
16.12022,LeftHighTom,1,0.2000051
17.09523,RightMiddleTom,1,0.2375056
18.18274,LeftHighTom,1,0.2000051
19.16401,RightMiddleTom,1,0.2000051
20.21402,LeftHighTom,1,0.2250054
21.20778,RightMiddleTom,1,0.2250054
22.27655,LeftHighTom,1,0.2250054
23.25781,RightMiddleTom,1,0.2375056
24.33282,LeftHighTom,1,0.2250054
25.30783,RightMiddleTom,1,0.2500057
26.3891,LeftHighTom,1,0.2000051
27.34536,RightMiddleTom,1,0.2500057
28.43912,LeftHighTom,1,0.2125052
29.39539,RightMiddleTom,1,0.2125052
30.4704,LeftHighTom,1,0.2375056
31.46416,RightMiddleTom,1,0.2375056
32.53292,LeftHighTom,1,0.1875049
33.50169,RightMiddleTom,1,0.2375056
34.59545,LeftHighTom,1,0.2750061
35.59546,RightMiddleTom,1,0.2750061
36.63297,LeftHighTom,0,0.2750061
37.57049,RightMiddleTom,0,0.2750061
38.683,LeftHighTom,0,0.2750061
39.62051,RightMiddleTom,0,0.2750061
40.73302,LeftHighTom,0,0.2750061
41.67054,RightMiddleTom,0,0.2750061
42.78305,LeftHighTom,0,0.2750061
43.72057,RightMiddleTom,0,0.2750061
44.83308,LeftHighTom,0,0.2750061
45.77059,RightMiddleTom,0,0.2750061
46.8831,LeftHighTom,0,0.2750061
47.82062,RightMiddleTom,0,0.2750061
48.93313,LeftHighTom,0,0.5000091
50.14565,RightMiddleTom,0.5624962,0.5000091
50.98315,LeftHighTom,0,0.5000091
51.92067,RightMiddleTom,0.4218626,0.5000091
53.03318,LeftHighTom,0,0.5000091
53.72069,RightMiddleTom,0.4843648,0.5000091
55.0957,LeftHighTom,0,0.5000091
55.56446,RightMiddleTom,0.07810593,0.5000091
57.14573,LeftHighTom,0,0.5000091
58.08324,RightMiddleTom,0,0.5000091
59.19576,LeftHighTom,0,0.5000091
60.13327,RightMiddleTom,0,0.5000091
61.24578,LeftHighTom,0,0.2000051
61.83954,RightMiddleTom,0.6015568,0.2000051
63.30206,LeftHighTom,1,0.1875049
64.26457,RightMiddleTom,1,0.1875049
65.37083,LeftHighTom,0,0.1875049
