Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.5000091
0.7612848,RightMiddleTom,0.7031178,0.5000091
1.742546,RightMiddleTom,0,0.5000091
1.517544,LeftHighTom,0.7499933,0.5000091
2.180052,RightMiddleTom,0,0.3250067
3.055063,LeftHighTom,0.9687471,0.3125066
3.880074,RightMiddleTom,1,0.3125066
5.005087,RightMiddleTom,0,0.3125066
4.567581,LeftHighTom,0,0.3125066
5.417593,RightMiddleTom,0,0.3125066
6.192602,LeftHighTom,0,0.3125066
7.017612,RightMiddleTom,0,0.4625086
8.267628,RightMiddleTom,0,0.4625086
7.998875,LeftHighTom,0.8281231,0.1750047
8.667633,RightMiddleTom,1,0.2375056
9.511393,LeftHighTom,1,0.2000051
10.30515,RightMiddleTom,1,0.1750047
11.49267,RightMiddleTom,0,0.1250041
11.09891,LeftHighTom,1,0.1250041
11.90517,RightMiddleTom,1,0.2750061
12.76143,LeftHighTom,1,0.3125066
13.59269,RightMiddleTom,0.9999943,0.2000051
14.74271,RightMiddleTom,0,0.0000024
14.3552,LeftHighTom,1,0.0000024
15.07396,RightMiddleTom,1,0.3250067
16.03023,LeftHighTom,0.9687471,0.2125052
16.80523,RightMiddleTom,1,0.2750061
17.96775,RightMiddleTom,0,0.0250028
17.63025,LeftHighTom,1,0.5000091
18.53651,RightMiddleTom,0.8749967,0.5000091
19.42402,LeftHighTom,0.6093645,0.3750074
20.11778,RightMiddleTom,0.9374952,0.2125052
21.21779,RightMiddleTom,0,0.0749985
20.84903,LeftHighTom,1,0.3750074
21.6428,RightMiddleTom,0.9531217,0.1250041
22.46781,LeftHighTom,1,0.1250041
23.24281,RightMiddleTom,1,0.1625046
24.46783,RightMiddleTom,0,0.0124977
24.06157,LeftHighTom,1,0.3625072
24.90534,RightMiddleTom,0.9687476,0.1375042
25.70535,LeftHighTom,1,0.1375042
26.49286,RightMiddleTom,1,0.1500044
27.79287,RightMiddleTom,0.999999,0.0874986
27.30536,LeftHighTom,1,0.3125066
28.20538,RightMiddleTom,1,0.3625072
29.02414,LeftHighTom,0.9218693,0.2750061
29.8179,RightMiddleTom,1,0.2125052
30.94291,RightMiddleTom,0,0.0124977
30.57416,LeftHighTom,1,0.3750074
31.39917,RightMiddleTom,0.9609346,0.4000077
32.28667,LeftHighTom,0.8906221,0.5000091
33.24294,RightMiddleTom,0.7968693,0.4375082
34.21795,RightMiddleTom,0,0.0750034
33.94295,LeftHighTom,0.8749962,0.4625086
34.73671,RightMiddleTom,0.9218721,0.2375056
35.44922,LeftHighTom,1,0.1250041
36.20547,RightMiddleTom,1,0.2000051
37.44299,RightMiddleTom,0,0.1125039
37.04298,LeftHighTom,1,0.3625072
37.943,RightMiddleTom,0.9687476,0.1500044
38.68051,LeftHighTom,1,0.1500044
39.48051,RightMiddleTom,1,0.1250041
40.66803,RightMiddleTom,0,0.0125026
40.25553,LeftHighTom,1,0.2375056
41.08054,RightMiddleTom,1,0.1750047
41.90555,LeftHighTom,1,0.2250054
42.73056,RightMiddleTom,1,0.2125052
43.91808,RightMiddleTom,0,0.2125052
43.54307,LeftHighTom,1,0.3750074
44.44308,RightMiddleTom,0.96875,0.2875062
45.20559,LeftHighTom,1,0.2000051
45.97435,RightMiddleTom,1,0.1375042
47.16811,RightMiddleTom,0,0.0250028
46.75561,LeftHighTom,1,0.0250028
47.51187,RightMiddleTom,1,0.3125066
48.46813,LeftHighTom,0.9999943,0.2375056
49.24314,RightMiddleTom,1,0.2250054
50.41815,RightMiddleTom,0,0.0625032
50.03065,LeftHighTom,1,0.0625032
50.78066,RightMiddleTom,1,0.2250054
51.66192,LeftHighTom,1,0.5000091
52.68693,RightMiddleTom,0.8203058,0.5000091
53.6432,RightMiddleTom,0,0.5000091
53.45569,LeftHighTom,0.6562424,0.2625059
54.1307,RightMiddleTom,1,0.5000091
55.07446,LeftHighTom,0.6718636,0.5000091
55.89947,RightMiddleTom,0.7812405,0.5000091
56.86823,RightMiddleTom,0,0.5000091
56.70573,LeftHighTom,0.6562424,0.5000091
57.55574,RightMiddleTom,0.6796837,0.5000091
58.44325,LeftHighTom,0.3749847,0.5000091
59.13701,RightMiddleTom,0.7343674,0.4125079
60.14327,RightMiddleTom,0,0.4125079
59.86827,LeftHighTom,0.8749962,0.5000091
60.77453,RightMiddleTom,0.8515577,0.5000091
61.31829,LeftHighTom,0,0.5000091
62.1683,RightMiddleTom,0,0.2000051
63.38081,RightMiddleTom,0,0.2000051
62.5933,LeftHighTom,0.6249933,0.2500057
63.84332,RightMiddleTom,1,0.2000051
64.63083,LeftHighTom,1,0.3000064
65.49959,RightMiddleTom,1,0.3250067
66.61835,RightMiddleTom,0,0.0500031
66.30585,LeftHighTom,0.9687519,0.0500031
66.98711,RightMiddleTom,1,0.0750034
67.83087,LeftHighTom,1,0.4250081
68.76838,RightMiddleTom,0.9374981,0.3625072
69.86839,RightMiddleTom,0,0.0750034
69.56839,LeftHighTom,0.9375,0.4250081
70.3934,RightMiddleTom,0.953124,0.3875076
71.20592,LeftHighTom,0.9062481,0.3875076
71.89342,RightMiddleTom,0,0.3875076
73.11844,RightMiddleTom,0,0.3875076
72.66843,LeftHighTom,0,0.3875076
73.51844,RightMiddleTom,0,0.3875076
74.29345,LeftHighTom,0,0.3875076
