Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
0.4550323,RightMiddleTom,0,0.3500071
1.667547,RightMiddleTom,0,0.3500071
1.461294,LeftHighTom,0.9843731,0.5000091
2.398806,RightMiddleTom,0.7265573,0.5000091
2.980062,LeftHighTom,0,0.3500071
3.855074,RightMiddleTom,0.8749962,0.3500071
4.917587,RightMiddleTom,0,0.5000091
4.811336,LeftHighTom,0.7343698,0.4125079
5.511345,RightMiddleTom,0.7968712,0.3000064
6.311355,LeftHighTom,1,0.2875062
7.061363,RightMiddleTom,0.9531212,0.2375056
8.167627,RightMiddleTom,0,0.0500031
7.892625,LeftHighTom,1,0.4625086
8.773886,RightMiddleTom,0.8671837,0.1875049
9.492644,LeftHighTom,1,0.1250041
10.2489,RightMiddleTom,1,0.1250041
11.40517,RightMiddleTom,0,0.0000024
11.08641,LeftHighTom,1,0.3875076
11.96143,RightMiddleTom,0.9062474,0.0499982
12.70518,LeftHighTom,0,0.5000091
13.38019,RightMiddleTom,1,0.0375029
14.64896,RightMiddleTom,1,0.0375029
14.1302,LeftHighTom,0.7499933,0.5000091
15.04896,RightMiddleTom,1,0.5000091
15.66147,LeftHighTom,0.5156159,0.5000091
16.43023,RightMiddleTom,0.6249905,0.0374980
17.849,RightMiddleTom,1,0.0124977
17.25524,LeftHighTom,0.4999876,0.0124977
18.274,RightMiddleTom,1,0.5000091
19.19277,LeftHighTom,0,0.5000091
19.69902,RightMiddleTom,0.7031202,0.0375029
21.13029,RightMiddleTom,1,0.0375029
20.50528,LeftHighTom,0.4687405,0.5000091
21.53654,RightMiddleTom,1,0.5000091
22.19905,LeftHighTom,0.6406212,0.5000091
22.96781,RightMiddleTom,0.7499933,0.0250028
24.36783,RightMiddleTom,1,0.0250028
24.78658,RightMiddleTom,1,0.0625032
23.79907,LeftHighTom,0.5781126,0.0874986
25.03034,RightMiddleTom,0,0.5000091
25.42409,LeftHighTom,0.8359337,0.5000091
26.2116,RightMiddleTom,0.7968712,0.5000091
27.64287,RightMiddleTom,1,0.1000037
27.06786,LeftHighTom,0.6562424,0.5000091
28.05538,RightMiddleTom,1,0.5000091
28.71163,LeftHighTom,0.7031155,0.5000091
29.46164,RightMiddleTom,0.7656193,0.5000091
30.87416,RightMiddleTom,1,0.0750034
30.3179,LeftHighTom,0.6562424,0.5000091
31.27417,RightMiddleTom,1,0.5000091
31.95542,LeftHighTom,0.7187486,0.5000091
32.70543,RightMiddleTom,0.7812405,0.5000091
34.15545,RightMiddleTom,1,0.1500044
33.57419,LeftHighTom,0.7031155,0.0500031
34.55546,RightMiddleTom,1,0.1874999
35.24921,LeftHighTom,0.9140568,0.1749997
36.02422,RightMiddleTom,0.9531212,0.1749997
37.43049,RightMiddleTom,1,0.1874999
36.87424,LeftHighTom,0.859375,0.5000091
37.81174,RightMiddleTom,1,0.5000091
38.47425,LeftHighTom,0.7968616,0.5000091
39.23051,RightMiddleTom,0.8749962,0.5000091
40.61803,RightMiddleTom,1,0.1000037
40.04302,LeftHighTom,0.6562424,0.0750034
41.01804,RightMiddleTom,1,0.5000091
41.90555,LeftHighTom,0,0.5000091
42.41806,RightMiddleTom,0.7812405,0.5000091
43.84932,RightMiddleTom,1,0.0625032
43.49306,LeftHighTom,0,0.5000091
44.25558,RightMiddleTom,1,0.5000091
44.88058,LeftHighTom,0.5937386,0.5000091
45.64309,RightMiddleTom,0.6874943,0.0249979
47.04311,RightMiddleTom,1,0.0125026
46.49936,LeftHighTom,0.5781078,0.5000091
47.47437,RightMiddleTom,1,0.5000091
48.13062,LeftHighTom,0.5937386,0.5000091
48.90563,RightMiddleTom,0.7499886,0.0125026
50.3119,RightMiddleTom,1,0.0375029
49.74939,LeftHighTom,0.6093693,0.0375029
50.72441,RightMiddleTom,1,0.5000091
51.63067,LeftHighTom,0,0.5000091
52.14942,RightMiddleTom,0.7343674,0.5000091
53.57444,RightMiddleTom,1,0.0625032
53.01193,LeftHighTom,0.6406212,0.5000091
53.99945,RightMiddleTom,1,0.5000091
54.6432,LeftHighTom,0.7499886,0.5000091
55.44321,RightMiddleTom,0.8749962,0.5000091
56.84948,RightMiddleTom,1,0.1125039
56.49323,LeftHighTom,0,0.5000091
57.24324,RightMiddleTom,1,0.5000091
57.862,LeftHighTom,0.6093693,0.5000091
58.64325,RightMiddleTom,0.7499981,0.5000091
60.05577,RightMiddleTom,1,0.0500031
59.46827,LeftHighTom,0.5624866,0.5000091
60.46203,RightMiddleTom,1,0.0499982
61.89955,RightMiddleTom,0.9140615,0.0499982
61.12453,LeftHighTom,0.6718636,0.5000091
62.3308,RightMiddleTom,0,0.5000091
63.31831,RightMiddleTom,1,0.1000037
62.74956,LeftHighTom,0.6718636,0.5000091
63.73707,RightMiddleTom,1,0.5000091
64.36208,LeftHighTom,0.6406212,0.5000091
65.16833,RightMiddleTom,0.8437443,0.5000091
66.56835,RightMiddleTom,1,0.1000037
66.01835,LeftHighTom,0.7187462,0.5000091
66.97461,RightMiddleTom,1,0.5000091
67.63712,LeftHighTom,0.7343674,0.5000091
