Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
1.112503,LeftHighTom,0,0.5000091
1.312508,RightMiddleTom,0.5624962,0.3750074
1.918762,LeftHighTom,0.8359337,0.3750074
2.98127,RightMiddleTom,0.9531212,0.3250067
3.912537,RightMiddleTom,0.9375,0.2875062
3.031273,LeftHighTom,0.9843636,0.2875062
4.837547,LeftHighTom,1,0.2125052
4.818802,RightMiddleTom,1,0.1750047
5.775063,LeftHighTom,1,0.1250041
6.65007,RightMiddleTom,1,0.1250041
7.625084,RightMiddleTom,1,0.2000051
6.681328,LeftHighTom,1,0.2000051
8.556343,LeftHighTom,1,0.1375042
8.531342,RightMiddleTom,1,0.1625046
9.525108,LeftHighTom,1,0.1625046
10.54388,RightMiddleTom,0.7968712,0.4125079
11.30013,RightMiddleTom,0,0.5000091
10.56262,LeftHighTom,0.9062576,0.5000091
12.50014,LeftHighTom,0.7499886,0.5000091
12.35014,RightMiddleTom,0.78125,0.3500071
13.3689,LeftHighTom,0.9843636,0.3500071
14.20017,RightMiddleTom,1,0.2250054
15.11267,RightMiddleTom,1,0.1750047
14.21892,LeftHighTom,1,0.1750047
16.05643,LeftHighTom,1,0.1500044
16.03144,RightMiddleTom,1,0.1625046
17.0252,LeftHighTom,1,0.1625046
17.95647,RightMiddleTom,1,0.2375056
18.91897,RightMiddleTom,0.9531212,0.2875062
17.98147,LeftHighTom,1,0.2875062
19.82523,LeftHighTom,1,0.1875049
19.80648,RightMiddleTom,1,0.1875049
20.76274,LeftHighTom,0,0.1875049
21.61276,RightMiddleTom,0,0.1875049
22.55026,RightMiddleTom,0,0.1875049
21.67526,LeftHighTom,0,0.1875049
23.55028,LeftHighTom,0,0.1875049
