Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,LeftHighTom,0,0.0000000
0,RightMiddleTom,0,0.0000000
0.5875092,LeftHighTom,0,0.0000000
1.475019,RightMiddleTom,0,0.0000000
2.387531,RightMiddleTom,0,0.0000000
2.650034,RightMiddleTom,0,0.0000000
1.537521,LeftHighTom,0,0.0000000
3.400043,LeftHighTom,0,0.0000000
3.350044,RightMiddleTom,0,0.0749985
4.375057,LeftHighTom,0,0.0749985
5.200066,RightMiddleTom,0,0.0749985
6.150078,RightMiddleTom,0,0.0749985
5.181316,LeftHighTom,1,0.0749985
7.16259,LeftHighTom,0,0.0749985
7.087589,RightMiddleTom,0,0.5000091
8.212605,LeftHighTom,0.9999943,0.5000091
8.975113,RightMiddleTom,0.8749962,0.0000024
9.875124,RightMiddleTom,1,0.0874986
9.325117,LeftHighTom,0.7499938,0.0874986
10.80014,LeftHighTom,0.9999943,0.5000091
10.96264,RightMiddleTom,0.6979103,0.5000091
11.86265,LeftHighTom,0,0.5000091
12.71266,RightMiddleTom,0,0.5000091
13.65017,RightMiddleTom,0,0.5000091
12.77516,LeftHighTom,0,0.5000091
14.65018,LeftHighTom,0,0.5000091
14.57518,RightMiddleTom,0,0.5000091
15.6127,LeftHighTom,0,0.5000091
16.46271,RightMiddleTom,0,0.5000091
17.55022,RightMiddleTom,0.8437443,0.3625072
16.52521,LeftHighTom,0,0.3625072
18.43148,LeftHighTom,1,0.1750047
18.33773,RightMiddleTom,0,0.3625072
19.47524,LeftHighTom,0.9687471,0.3625072
20.31275,RightMiddleTom,0.999999,0.2500057
21.26902,RightMiddleTom,0.9531212,0.2875062
20.344,LeftHighTom,1,0.2875062
22.16903,LeftHighTom,1,0.1500044
22.08778,RightMiddleTom,0,0.3750074
23.23154,LeftHighTom,0.9531212,0.3750074
24.04405,RightMiddleTom,1,0.2125052
25.05656,RightMiddleTom,0.8593702,0.3625072
24.0753,LeftHighTom,1,0.3625072
25.94407,LeftHighTom,1,0.2125052
25.91282,RightMiddleTom,1,0.2750061
26.93159,LeftHighTom,1,0.2750061
27.80035,RightMiddleTom,0.999999,0.2375056
28.77536,RightMiddleTom,0.9375,0.3000064
27.83785,LeftHighTom,1,0.3000064
29.70037,LeftHighTom,1,0.3000064
29.71287,RightMiddleTom,0.9375,0.3375069
30.71288,LeftHighTom,0.999999,0.3375069
31.5754,RightMiddleTom,0.9374952,0.5000091
32.60666,RightMiddleTom,0.7656193,0.4500084
31.75665,LeftHighTom,0.8359342,0.4500084
33.54417,LeftHighTom,0.8906221,0.4125079
33.51917,RightMiddleTom,0.7968712,0.3625072
34.47543,LeftHighTom,0.9687471,0.3625072
35.34419,RightMiddleTom,0.9218693,0.3125066
36.2942,RightMiddleTom,0.8906174,0.3375069
35.36294,LeftHighTom,1,0.3375069
37.27547,LeftHighTom,0.9375,0.4000077
37.26297,RightMiddleTom,0.8125019,0.3875076
38.23798,LeftHighTom,0.9375,0.3875076
39.06924,RightMiddleTom,0.9531212,0.2750061
40.063,RightMiddleTom,0.8437443,0.3750074
39.10674,LeftHighTom,1,0.3750074
40.90051,LeftHighTom,0,0.3750074
40.83801,RightMiddleTom,0,0.3750074
41.86302,LeftHighTom,0,0.3750074
42.70053,RightMiddleTom,0,0.3750074
43.65054,RightMiddleTom,0,0.3750074
42.77554,LeftHighTom,0,0.3750074
44.66306,LeftHighTom,0,0.3750074
44.58806,RightMiddleTom,0,0.3750074
45.61307,LeftHighTom,0,0.3750074
46.45058,RightMiddleTom,0,0.3750074
46.71308,RightMiddleTom,0,0.3750074
47.40059,RightMiddleTom,0,0.3750074
47.6506,RightMiddleTom,0,0.3750074
46.52558,LeftHighTom,0,0.3750074
48.4006,LeftHighTom,0,0.3750074
48.3381,RightMiddleTom,0,0.3750074
49.36311,LeftHighTom,0,0.3750074
50.21313,RightMiddleTom,0,0.3750074
51.15064,RightMiddleTom,0,0.3750074
50.27563,LeftHighTom,0,0.3750074
52.16315,LeftHighTom,0,0.3750074
