Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate,EyeFocusItem, EyeFocusCoord
0,LeftHighTom,0,0.0000000,,(0/0/0)
0,RightMiddleTom,0,0.1200000,,(0/0/0)
0.75,LeftHighTom,0,0.0400000,,(0/0/0)
1.71,RightMiddleTom,1,0.0600000,,(0/0/0)
2.700001,LeftHighTom,1,0.0200000,,(0/0/0)
3.72,RightMiddleTom,1,0.0800000,,(0/0/0)
4.75,LeftHighTom,0.999999,0.0200000,,(0/0/0)
5.790001,RightMiddleTom,1,0.0200000,,(0/0/0)
7.82,RightMiddleTom,1,0.0200000,,(0/0/0)
6.790001,LeftHighTom,0.999999,0.0400000,,(0/0/0)
8.030001,RightMiddleTom,0,0.0400000,,(0/0/0)
8.870001,LeftHighTom,0.999999,0.0800000,,(0/0/0)
9.870001,RightMiddleTom,1,0.0400000,,(0/0/0)
