Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,LeftHighTom,0,0.0000000
0,RightMiddleTom,0,0.0000000
0.8999977,LeftHighTom,0,0.0000000
2.279999,RightMiddleTom,0,0.0000000
3.66,LeftHighTom,0,0.0000000
5.039997,RightMiddleTom,0,0.0000000
6.419998,LeftHighTom,0,0.0000000
7.799999,RightMiddleTom,0,0.0000000
9.179996,LeftHighTom,0,0.0000000
10.56,RightMiddleTom,0,0.0000000
11.94,LeftHighTom,0,0.0000000
13.32,RightMiddleTom,0,0.0000000
14.7,LeftHighTom,0,0.0000000
16.08,RightMiddleTom,0,0.0000000
17.46,LeftHighTom,0,0.0000000
18.84,RightMiddleTom,0,0.0000000
20.2,LeftHighTom,0,0.0000000
21.58,RightMiddleTom,0,0.0000000
22.96,LeftHighTom,0,0.0000000
24.34,RightMiddleTom,0,0.0000000
