Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate,EyeFocusItem, EyeFocusCoord
26.6,LeftHighTom,0.750001,0.2800001,,(0/0/0)
27.62,RightMiddleTom,1,0.2800001,,(0/0/0)
28.23,LeftHighTom,1,0.3000001,,(0/0/0)
28.90999,RightMiddleTom,1,0.2600001,,(0/0/0)
29.59,LeftHighTom,1,0.2600001,,(0/0/0)
30.93999,LeftHighTom,1,0.3000001,,(0/0/0)
31.64999,LeftHighTom,1,0.3600000,,(0/0/0)
30.25,RightMiddleTom,1,0.3000001,,(0/0/0)
32.89999,RightMiddleTom,0,0.3200001,,(0/0/0)
32.31,LeftHighTom,1,0.3200001,,(0/0/0)
33.02,RightMiddleTom,1,0.3000001,,(0/0/0)
33.64,LeftHighTom,1,0.3200001,,(0/0/0)
34.32,RightMiddleTom,1,0.3600000,,(0/0/0)
35.6,RightMiddleTom,0,0.3600000,,(0/0/0)
35.01999,LeftHighTom,1,0.3800000,,(0/0/0)
36.36,LeftHighTom,1,0.3400000,,(0/0/0)
35.75,RightMiddleTom,1,0.4399999,,(0/0/0)
37.75999,LeftHighTom,1,0.3800000,,(0/0/0)
38.39,RightMiddleTom,1,0.3000001,,(0/0/0)
39.65999,RightMiddleTom,1,0.2400001,,(0/0/0)
39.03999,LeftHighTom,1,0.2400001,,(0/0/0)
39.75999,RightMiddleTom,0,0.1600000,,(0/0/0)
40.39,LeftHighTom,1,0.1600000,,(0/0/0)
41.71,LeftHighTom,1,0.2400001,,(0/0/0)
42.43999,LeftHighTom,1,0.2200000,,(0/0/0)
40.97999,RightMiddleTom,1,0.1600000,,(0/0/0)
43.05,LeftHighTom,1,0.2000000,,(0/0/0)
43.68,RightMiddleTom,1,0.1400000,,(0/0/0)
44.37,LeftHighTom,1,0.1600000,,(0/0/0)
45.00999,RightMiddleTom,1,0.1800000,,(0/0/0)
45.71999,LeftHighTom,1,0.2000000,,(0/0/0)
47.07,LeftHighTom,1,0.1600000,,(0/0/0)
46.37,RightMiddleTom,1,0.1800000,,(0/0/0)
48.41999,LeftHighTom,1,0.1800000,,(0/0/0)
49.07,RightMiddleTom,1,0.1800000,,(0/0/0)
49.78999,LeftHighTom,1,0.1800000,,(0/0/0)
50.43,RightMiddleTom,1,0.1800000,,(0/0/0)
51.10999,LeftHighTom,1,0.2400001,,(0/0/0)
52.5,LeftHighTom,1,0.2600001,,(0/0/0)
53.21,LeftHighTom,1,0.3000001,,(0/0/0)
51.79999,RightMiddleTom,1,0.2000000,,(0/0/0)
53.85,LeftHighTom,1,0.2200000,,(0/0/0)
54.48,RightMiddleTom,1,0.1600000,,(0/0/0)
55.8,RightMiddleTom,1,0.1600000,,(0/0/0)
55.17999,LeftHighTom,1,0.1400000,,(0/0/0)
55.93999,RightMiddleTom,0,0.1200000,,(0/0/0)
56.48999,LeftHighTom,1,0.2000000,,(0/0/0)
57.87,LeftHighTom,1,0.0800000,,(0/0/0)
57.13999,RightMiddleTom,1,0.1200000,,(0/0/0)
59.16,LeftHighTom,1,0.1400000,,(0/0/0)
59.83999,RightMiddleTom,1,0.0800000,,(0/0/0)
61.16,RightMiddleTom,1,0.0800000,,(0/0/0)
60.53,LeftHighTom,1,0.0400000,,(0/0/0)
61.34,RightMiddleTom,0,0.1200000,,(0/0/0)
61.83999,LeftHighTom,1,0.1600000,,(0/0/0)
63.24,LeftHighTom,1,0.0800000,,(0/0/0)
63.87999,LeftHighTom,1,0.0200000,,(0/0/0)
62.52,RightMiddleTom,1,0.0200000,,(0/0/0)
64.53,LeftHighTom,0.9749985,0.0400000,,(0/0/0)
65.17,RightMiddleTom,1,0.0600000,,(0/0/0)
65.88,LeftHighTom,1,0.1000000,,(0/0/0)
66.55,RightMiddleTom,1,0.0600000,,(0/0/0)
67.23999,LeftHighTom,1,0.0200000,,(0/0/0)
