Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate,EyeFocusItem, EyeFocusCoord
0,RightMiddleTom,0,0.0000000,,(0/0/0)
0,LeftHighTom,0,0.0000000,,(0/0/0)
0.5399933,RightMiddleTom,0,0.0000000,,(0/0/0)
1.259995,LeftHighTom,0,0.2400001,,(0/0/0)
1.909996,RightMiddleTom,1,0.3000001,,(0/0/0)
2.619995,LeftHighTom,1,0.2800001,,(0/0/0)
3.989998,LeftHighTom,1,0.3000001,,(0/0/0)
3.279995,RightMiddleTom,1,0.3000001,,(0/0/0)
5.319996,LeftHighTom,1,0.3000001,,(0/0/0)
5.989994,RightMiddleTom,1,0.2800001,,(0/0/0)
6.679996,LeftHighTom,1,0.2800001,,(0/0/0)
7.319996,RightMiddleTom,1,0.3000001,,(0/0/0)
8.019997,LeftHighTom,1,0.2200000,,(0/0/0)
9.369995,LeftHighTom,1,0.2600001,,(0/0/0)
10.00999,LeftHighTom,1,0.2400001,,(0/0/0)
8.649998,RightMiddleTom,1,0.2800001,,(0/0/0)
10.71,LeftHighTom,1,0.2600001,,(0/0/0)
11.37,RightMiddleTom,1,0.3200001,,(0/0/0)
12.07999,LeftHighTom,1,0.3200001,,(0/0/0)
12.73999,RightMiddleTom,1,0.3400000,,(0/0/0)
13.44999,LeftHighTom,1,0.3600000,,(0/0/0)
14.75,LeftHighTom,1,0.2600001,,(0/0/0)
14.12,RightMiddleTom,1,0.4799999,,(0/0/0)
16.21,LeftHighTom,0.9249973,0.3400000,,(0/0/0)
16.78999,RightMiddleTom,1,0.3200001,,(0/0/0)
17.48,LeftHighTom,1,0.2600001,,(0/0/0)
18.10999,RightMiddleTom,1,0.3400000,,(0/0/0)
19.42,RightMiddleTom,0,0.2800001,,(0/0/0)
18.82,LeftHighTom,1,0.2800001,,(0/0/0)
20.15999,LeftHighTom,1,0.2800001,,(0/0/0)
20.89,LeftHighTom,1,0.4000000,,(0/0/0)
19.51999,RightMiddleTom,1,0.3400000,,(0/0/0)
21.52999,LeftHighTom,1,0.3600000,,(0/0/0)
22.2,RightMiddleTom,1,0.2800001,,(0/0/0)
22.86,LeftHighTom,1,0.3000001,,(0/0/0)
23.51,RightMiddleTom,1,0.3200001,,(0/0/0)
24.81999,RightMiddleTom,0,0.3200001,,(0/0/0)
24.21999,LeftHighTom,1,0.3400000,,(0/0/0)
25.57,LeftHighTom,1,0.5199999,,(0/0/0)
24.95,RightMiddleTom,1,0.2800001,,(0/0/0)
27.52,RightMiddleTom,0,0.2800001,,(0/0/0)
