Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate,EyeFocusItem, EyeFocusCoord
0,LeftHighTom,0,0.1400000,,(0/0/0)
0,RightMiddleTom,0,0.1400000,,(0/0/0)
0.5300016,LeftHighTom,1,0.3600000,,(0/0/0)
1.300001,RightMiddleTom,1,0.3200001,,(0/0/0)
1.98,LeftHighTom,1,0.3600000,,(0/0/0)
3.31,LeftHighTom,1,0.3200001,,(0/0/0)
3.980001,LeftHighTom,1,0.2400001,,(0/0/0)
2.640001,RightMiddleTom,1,0.2400001,,(0/0/0)
4.640001,LeftHighTom,1,0.3200001,,(0/0/0)
5.320001,RightMiddleTom,1,0.2600001,,(0/0/0)
5.980001,LeftHighTom,1,0.2800001,,(0/0/0)
6.660001,RightMiddleTom,1,0.2600001,,(0/0/0)
7.330001,LeftHighTom,1,0.2000000,,(0/0/0)
8.650002,LeftHighTom,1,0.5199999,,(0/0/0)
7.970001,RightMiddleTom,1,0.3800000,,(0/0/0)
10.09,LeftHighTom,1,0.3800000,,(0/0/0)
10.08,RightMiddleTom,0.5,0.5199999,,(0/0/0)
11.51,LeftHighTom,0.8749986,0.2400001,,(0/0/0)
12.05,RightMiddleTom,1,0.2400001,,(0/0/0)
12.72,LeftHighTom,1,0.1400000,,(0/0/0)
14.03,LeftHighTom,1,0.1800000,,(0/0/0)
14.72,LeftHighTom,1,0.1600000,,(0/0/0)
13.37,RightMiddleTom,1,0.1600000,,(0/0/0)
15.38,LeftHighTom,1,0.3400000,,(0/0/0)
16.13,RightMiddleTom,1,0.2800001,,(0/0/0)
16.78,LeftHighTom,1,0.1400000,,(0/0/0)
17.44,RightMiddleTom,1,0.1200000,,(0/0/0)
18.07,LeftHighTom,1,0.0400000,,(0/0/0)
19.36,LeftHighTom,0.999999,0.1800000,,(0/0/0)
18.71,RightMiddleTom,1,0.1800000,,(0/0/0)
20.79,LeftHighTom,1,0.4000000,,(0/0/0)
21.54,RightMiddleTom,0.999999,0.3200001,,(0/0/0)
22.2,LeftHighTom,1,0.2000000,,(0/0/0)
22.83,RightMiddleTom,1,0.1200000,,(0/0/0)
23.47,LeftHighTom,1,0.0400000,,(0/0/0)
24.76,LeftHighTom,0.999999,0.1400000,,(0/0/0)
25.49,LeftHighTom,1,0.0800000,,(0/0/0)
24.11,RightMiddleTom,1,0.1000000,,(0/0/0)
26.11,LeftHighTom,1,0.0000000,,(0/0/0)
26.79,RightMiddleTom,1,0.0800000,,(0/0/0)
27.44,LeftHighTom,0.9500027,0.0200000,,(0/0/0)
28.12,RightMiddleTom,1,0.0400000,,(0/0/0)
28.78,LeftHighTom,1,0.0200000,,(0/0/0)
30.13,LeftHighTom,0.9750032,0.1800000,,(0/0/0)
29.46,RightMiddleTom,1,0.1000000,,(0/0/0)
31.56,LeftHighTom,1,0.0200000,,(0/0/0)
32.19,RightMiddleTom,1,0.0200000,,(0/0/0)
33.49,RightMiddleTom,1,0.0200000,,(0/0/0)
32.83,LeftHighTom,0.9749985,0.0600000,,(0/0/0)
33.7,RightMiddleTom,0,0.0800000,,(0/0/0)
34.14,LeftHighTom,0.9000015,0.0800000,,(0/0/0)
35.56,LeftHighTom,1,0.2200000,,(0/0/0)
36.31,LeftHighTom,1,0.0800000,,(0/0/0)
34.86,RightMiddleTom,1,0.0400000,,(0/0/0)
36.91,LeftHighTom,1,0.0200000,,(0/0/0)
37.54,RightMiddleTom,1,0.0200000,,(0/0/0)
38.23,LeftHighTom,0.9749985,0.0200000,,(0/0/0)
