Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
0.6500077,RightMiddleTom,0,0.0000000
1.800023,LeftHighTom,0,0.0000000
2.700034,RightMiddleTom,0,0.0000000
3.812547,LeftHighTom,0,0.0000000
4.750059,RightMiddleTom,0,0.0000000
5.862573,LeftHighTom,0,0.0000000
6.800085,RightMiddleTom,0,0.0000000
7.912598,LeftHighTom,0,0.0000000
8.850109,RightMiddleTom,0,0.0000000
9.962624,LeftHighTom,0,0.0000000
10.90014,RightMiddleTom,0,0.0000000
12.01265,LeftHighTom,0,0.0000000
12.95016,RightMiddleTom,0,0.0000000
14.06267,LeftHighTom,0,0.0000000
15.00019,RightMiddleTom,0,0.5000091
16.40645,LeftHighTom,0.5156159,0.5000091
16.68146,RightMiddleTom,0.5703061,0.5000091
17.93147,LeftHighTom,0.6718683,0.2000051
18.67523,RightMiddleTom,0.1874876,0.5000091
20.2065,LeftHighTom,1,0.2000051
20.97526,RightMiddleTom,0.7812428,0.5000091
22.26903,LeftHighTom,1,0.5000091
22.99404,RightMiddleTom,0.7031202,0.2625059
24.3503,LeftHighTom,1,0.3250067
25.36282,RightMiddleTom,0.9999967,0.2500057
26.39408,LeftHighTom,1,0.1625046
27.31284,RightMiddleTom,0,0.5000091
28.4191,LeftHighTom,1,0.5000091
29.45662,RightMiddleTom,0.5703044,0.1374992
30.04412,LeftHighTom,0.5078034,0.1374992
31.28164,RightMiddleTom,0.9218693,0.1374992
32.52541,LeftHighTom,0,0.1374992
33.46292,RightMiddleTom,0,0.1374992
34.57543,LeftHighTom,0,0.1374992
35.51294,RightMiddleTom,0,0.1374992
36.62545,LeftHighTom,0,0.1374992
37.56297,RightMiddleTom,0,0.1374992
38.67548,LeftHighTom,0,0.1374992
39.61299,RightMiddleTom,0,0.1374992
40.72551,LeftHighTom,0,0.2125052
41.67552,RightMiddleTom,0,0.5000091
42.78803,LeftHighTom,1,0.5000091
43.83179,RightMiddleTom,0.585928,0.1124989
44.40055,LeftHighTom,0.5,0.5000091
46.11932,RightMiddleTom,0.5234289,0.0875036
46.65683,LeftHighTom,0.5390549,0.5000091
47.80685,RightMiddleTom,1,0.5000091
48.66936,LeftHighTom,0.5156183,0.5000091
49.41312,RightMiddleTom,0.09373188,0.5000091
50.98814,LeftHighTom,0,0.5000091
51.92565,RightMiddleTom,0,0.5000091
53.07566,LeftHighTom,0,0.5000091
53.97567,RightMiddleTom,0,0.5000091
55.08818,LeftHighTom,0,0.5000091
56.0257,RightMiddleTom,0,0.5000091
57.13821,LeftHighTom,0,0.5000091
58.07573,RightMiddleTom,0,0.5000091
59.18824,LeftHighTom,0,0.5000091
60.12575,RightMiddleTom,0,0.5000091
61.23826,LeftHighTom,0,0.5000091
62.18827,RightMiddleTom,0,0.5000091
63.30079,LeftHighTom,0,0.5000091
64.2383,RightMiddleTom,0,0.5000091
65.38832,LeftHighTom,0,0.5000091
66.28833,RightMiddleTom,0,0.5000091
67.40084,LeftHighTom,0,0.5000091
68.33836,RightMiddleTom,0,0.5000091
69.45087,LeftHighTom,0,0.5000091
70.38838,RightMiddleTom,0,0.5000091
71.50089,LeftHighTom,0,0.5000091
72.43841,RightMiddleTom,0,0.5000091
73.55092,LeftHighTom,0,0.5000091
74.48843,RightMiddleTom,0,0.5000091
75.60094,LeftHighTom,0,0.5000091
76.53846,RightMiddleTom,0,0.5000091
77.65097,LeftHighTom,0,0.5000091
78.58849,RightMiddleTom,0,0.5000091
79.701,LeftHighTom,0,0.5000091
80.6385,RightMiddleTom,0,0.5000091
81.78852,LeftHighTom,0,0.5000091
82.70103,RightMiddleTom,0,0.5000091
83.83855,LeftHighTom,0,0.5000091
84.75106,RightMiddleTom,0,0.5000091
85.86357,LeftHighTom,0,0.5000091
86.80109,RightMiddleTom,0,0.5000091
87.9136,LeftHighTom,0,0.5000091
88.85111,RightMiddleTom,0,0.5000091
89.96362,LeftHighTom,0,0.5000091
90.90114,RightMiddleTom,0,0.5000091
92.01365,LeftHighTom,0,0.5000091
92.96366,RightMiddleTom,0,0.5000091
94.06367,LeftHighTom,0,0.5000091
95.00119,RightMiddleTom,0,0.5000091
96.1512,LeftHighTom,0,0.5000091
97.05121,RightMiddleTom,0,0.5000091
98.16373,LeftHighTom,0,0.5000091
99.10123,RightMiddleTom,0,0.5000091
100.2138,LeftHighTom,0,0.5000091
101.1513,RightMiddleTom,0,0.5000091
102.2763,LeftHighTom,0,0.5000091
103.2138,RightMiddleTom,0,0.5000091
104.3263,LeftHighTom,0,0.5000091
105.2638,RightMiddleTom,0,0.5000091
106.3763,LeftHighTom,0,0.5000091
107.3138,RightMiddleTom,0,0.5000091
108.4264,LeftHighTom,0,0.1750047
109.0139,RightMiddleTom,0.3749847,0.1750047
110.4576,LeftHighTom,1,0.2125052
111.4576,RightMiddleTom,1,0.2375056
112.5389,LeftHighTom,1,0.2500057
113.5264,RightMiddleTom,1,0.2375056
114.5889,LeftHighTom,1,0.2375056
115.5702,RightMiddleTom,1,0.2250054
116.6327,LeftHighTom,1,0.2125052
