Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
0.7375088,RightMiddleTom,0,0.0000000
1.762522,LeftHighTom,0,0.0000000
2.775034,RightMiddleTom,0,0.0000000
3.812548,LeftHighTom,0,0.0000000
4.82506,RightMiddleTom,0,0.0000000
5.862572,LeftHighTom,0,0.0000000
6.875086,RightMiddleTom,0,0.0000000
7.912598,LeftHighTom,0,0.0000000
8.937611,RightMiddleTom,0,0.0000000
9.962624,LeftHighTom,0,0.0000000
10.97514,RightMiddleTom,0,0.0000000
12.01265,LeftHighTom,0,0.0000000
13.03766,RightMiddleTom,0,0.0000000
14.06267,LeftHighTom,0,0.0000000
15.08769,RightMiddleTom,0,0.0000000
16.1127,LeftHighTom,0,0.0000000
17.15021,RightMiddleTom,0,0.0000000
18.16273,LeftHighTom,0,0.0000000
19.17524,RightMiddleTom,0,0.0000000
20.21275,LeftHighTom,0,0.0000000
21.23776,RightMiddleTom,0,0.0000000
22.27528,LeftHighTom,0,0.0000000
23.28779,RightMiddleTom,0,0.0000000
