Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
0.5425377,RightMiddleTom,0,0.0000000
1.773802,RightMiddleTom,1,0.1625046
1.317547,LeftHighTom,0,0.1625046
2.155056,RightMiddleTom,0,0.1625046
2.942566,LeftHighTom,0,0.1625046
3.780075,RightMiddleTom,0,0.3000064
4.992592,RightMiddleTom,0,0.0624983
4.667587,LeftHighTom,0.9999943,0.3875076
5.442596,RightMiddleTom,0.960937,0.2000051
6.242607,LeftHighTom,1,0.1625046
7.036367,RightMiddleTom,1,0.5000091
8.06138,RightMiddleTom,0.7968664,0.5000091
8.067629,LeftHighTom,0.5937433,0.5000091
8.730137,RightMiddleTom,1,0.5000091
9.030142,LeftHighTom,0.3906178,0.5000091
10.26766,RightMiddleTom,0,0.5000091
11.48017,RightMiddleTom,0,0.5000091
11.05517,LeftHighTom,0,0.5000091
11.89268,RightMiddleTom,0,0.5000091
12.66769,LeftHighTom,0,0.5000091
13.5052,RightMiddleTom,0,0.5000091
14.73021,RightMiddleTom,0,0.5000091
14.29271,LeftHighTom,0,0.5000091
15.13022,RightMiddleTom,0,0.5000091
15.91773,LeftHighTom,0,0.5000091
16.75524,RightMiddleTom,0,0.5000091
17.96775,RightMiddleTom,0,0.5000091
17.54275,LeftHighTom,0,0.5000091
18.38026,RightMiddleTom,0,0.5000091
19.15527,LeftHighTom,0,0.5000091
20.21153,RightMiddleTom,0.8515601,0.5000091
21.21779,RightMiddleTom,0,0.5000091
20.78028,LeftHighTom,0,0.5000091
21.6178,RightMiddleTom,0,0.5000091
22.40531,LeftHighTom,0,0.5000091
23.24282,RightMiddleTom,0,0.5000091
24.45533,RightMiddleTom,0,0.5000091
