Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,LeftHighTom,0,0.0000000
0,RightMiddleTom,0,0.0000000
0.5000114,LeftHighTom,0,0.0000000
1.150021,RightMiddleTom,0,0.0000000
1.800028,LeftHighTom,0,0.0000000
3.150045,LeftHighTom,0,0.0000000
3.825054,LeftHighTom,0,0.0000000
2.500036,RightMiddleTom,0,0.0000000
4.500061,LeftHighTom,0,0.3375069
5.300073,RightMiddleTom,0.9999967,0.3875076
5.98133,LeftHighTom,0.8906198,0.4000077
6.681339,RightMiddleTom,0.9218693,0.4000077
7.212595,LeftHighTom,0,0.5000091
8.562613,LeftHighTom,0,0.5000091
8.531363,RightMiddleTom,0.3177023,0.5000091
9.887629,LeftHighTom,0,0.5000091
10.58764,RightMiddleTom,0,0.5000091
11.23765,LeftHighTom,0,0.5000091
11.91265,RightMiddleTom,0,0.5000091
12.58766,LeftHighTom,0,0.5000091
13.96268,LeftHighTom,0,0.5000091
14.63769,LeftHighTom,0,0.5000091
13.30017,RightMiddleTom,0,0.5000091
15.3127,LeftHighTom,0,0.5000091
15.97521,RightMiddleTom,0,0.5000091
16.65021,LeftHighTom,0,0.1750047
17.35022,RightMiddleTom,1,0.1750047
17.97523,LeftHighTom,0,0.1250041
19.32525,LeftHighTom,1,0.5000091
18.67524,RightMiddleTom,1,0.2875062
20.76277,LeftHighTom,1,0.2875062
20.87527,RightMiddleTom,0.5,0.2875062
22.12528,LeftHighTom,1,0.2875062
22.80029,RightMiddleTom,1,0.2875062
23.3878,LeftHighTom,0,0.2625059
24.75031,LeftHighTom,1,0.1625046
25.40032,LeftHighTom,0,0.1625046
24.13156,RightMiddleTom,1,0.1625046
26.07533,LeftHighTom,0,0.1375042
26.82534,RightMiddleTom,1,0.1375042
27.45035,LeftHighTom,1,0.2250054
28.16911,RightMiddleTom,1,0.1625046
28.80037,LeftHighTom,1,0.3125066
30.10038,LeftHighTom,0,0.5000091
29.57537,RightMiddleTom,1,0.1875049
31.50665,LeftHighTom,1,0.1875049
31.55665,RightMiddleTom,0,0.1875049
32.81291,LeftHighTom,0,0.5000091
33.50042,RightMiddleTom,0,0.5000091
33.95043,LeftHighTom,0.6874943,0.5000091
35.26295,LeftHighTom,0.5937386,0.5000091
36.18796,LeftHighTom,0,0.5000091
35.26295,RightMiddleTom,0.2187347,0.5000091
36.85046,LeftHighTom,0,0.5000091
37.29422,RightMiddleTom,0.6406212,0.5000091
38.46923,LeftHighTom,0.6093693,0.5000091
38.88799,RightMiddleTom,0,0.5000091
39.5505,LeftHighTom,0,0.5000091
40.88802,LeftHighTom,0,0.5000091
40.23801,RightMiddleTom,0,0.5000091
42.23804,LeftHighTom,0,0.5000091
42.92554,RightMiddleTom,0,0.5000091
43.58805,LeftHighTom,0,0.5000091
44.27556,RightMiddleTom,0,0.5000091
44.95057,LeftHighTom,0,0.5000091
46.31309,LeftHighTom,0,0.5000091
46.96309,LeftHighTom,0,0.5000091
45.62558,RightMiddleTom,0,0.5000091
47.6506,LeftHighTom,0,0.5000091
48.32561,RightMiddleTom,0,0.5000091
48.98812,LeftHighTom,0,0.5000091
49.68813,RightMiddleTom,0,0.5000091
50.35063,LeftHighTom,0,0.5000091
51.68815,LeftHighTom,0,0.5000091
51.01315,RightMiddleTom,0,0.5000091
53.05067,LeftHighTom,0,0.5000091
53.73817,RightMiddleTom,0,0.5000091
54.37569,LeftHighTom,0,0.5000091
55.06319,RightMiddleTom,0,0.5000091
55.7507,LeftHighTom,0,0.5000091
57.08822,LeftHighTom,0,0.5000091
57.75072,LeftHighTom,0,0.5000091
56.42571,RightMiddleTom,0,0.5000091
58.43823,LeftHighTom,0,0.5000091
59.12575,RightMiddleTom,0,0.5000091
59.80075,LeftHighTom,0,0.5000091
60.47576,RightMiddleTom,0,0.5000091
61.13827,LeftHighTom,0,0.5000091
62.50079,LeftHighTom,0,0.5000091
61.82578,RightMiddleTom,0,0.5000091
63.82581,LeftHighTom,0,0.5000091
64.50081,RightMiddleTom,0,0.5000091
65.18832,LeftHighTom,0,0.5000091
65.85083,RightMiddleTom,0,0.5000091
66.55083,LeftHighTom,0,0.5000091
67.87585,LeftHighTom,0,0.5000091
68.55087,LeftHighTom,0,0.5000091
67.22585,RightMiddleTom,0,0.5000091
69.22587,LeftHighTom,0,0.5000091
69.90088,RightMiddleTom,0,0.5000091
70.57589,LeftHighTom,0,0.5000091
71.2634,RightMiddleTom,0,0.5000091
71.9384,LeftHighTom,0,0.5000091
73.26342,LeftHighTom,0,0.5000091
72.60091,RightMiddleTom,0,0.5000091
74.62594,LeftHighTom,0,0.5000091
75.30095,RightMiddleTom,0,0.5000091
75.97595,LeftHighTom,0,0.5000091
76.63847,RightMiddleTom,0,0.5000091
77.31347,LeftHighTom,0,0.5000091
