Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate,EyeFocusItem, EyeFocusCoord
0,LeftHighTom,0,0.0000000,,(0/0/0)
0,RightMiddleTom,0,0.0000000,,(0/0/0)
1.75,RightMiddleTom,0,0.0000000,,(0/0/0)
0.7700005,LeftHighTom,0,0.0000000,,(0/0/0)
1.870001,RightMiddleTom,0,0.0000000,,(0/0/0)
2.790001,LeftHighTom,0,0.1200000,,(0/0/0)
3.790001,RightMiddleTom,0,0.0600000,,(0/0/0)
4.81,LeftHighTom,1,0.0600000,,(0/0/0)
5.780001,RightMiddleTom,1,0.0600000,,(0/0/0)
6.810001,LeftHighTom,1,0.0600000,,(0/0/0)
7.91,RightMiddleTom,0,0.0600000,,(0/0/0)
8.970001,LeftHighTom,0,0.0600000,,(0/0/0)
9.950001,RightMiddleTom,0,0.0800000,,(0/0/0)
10.91,LeftHighTom,1,0.0400000,,(0/0/0)
11.95,RightMiddleTom,1,0.0200000,,(0/0/0)
12.97,LeftHighTom,0.999999,0.0000000,,(0/0/0)
13.96,RightMiddleTom,1,0.0200000,,(0/0/0)
15,LeftHighTom,0.9750032,0.0400000,,(0/0/0)
16.02,RightMiddleTom,1,0.0400000,,(0/0/0)
17.07,LeftHighTom,0.999999,0.0600000,,(0/0/0)
18.07,RightMiddleTom,1,0.0400000,,(0/0/0)
19.13,LeftHighTom,1,0.0200000,,(0/0/0)
20.13,RightMiddleTom,1,0.0200000,,(0/0/0)
21.16,LeftHighTom,0.9750032,0.0200000,,(0/0/0)
22.18,RightMiddleTom,1,0.0600000,,(0/0/0)
23.21,LeftHighTom,0.999999,0.0400000,,(0/0/0)
24.24,RightMiddleTom,1,0.0200000,,(0/0/0)
26.28,RightMiddleTom,1,0.0200000,,(0/0/0)
25.27,LeftHighTom,0.999999,0.0600000,,(0/0/0)
26.49,RightMiddleTom,0,0.1000000,,(0/0/0)
27.33,LeftHighTom,1,0.0000000,,(0/0/0)
28.36,RightMiddleTom,1,0.0000000,,(0/0/0)
29.37,LeftHighTom,0.9500027,0.0400000,,(0/0/0)
30.51,RightMiddleTom,1,0.0600000,,(0/0/0)
31.42,LeftHighTom,1,0.0200000,,(0/0/0)
32.44,RightMiddleTom,1,0.0400000,,(0/0/0)
33.48,LeftHighTom,0.975008,0.0600000,,(0/0/0)
34.5,RightMiddleTom,1,0.0400000,,(0/0/0)
35.53,LeftHighTom,1,0.0400000,,(0/0/0)
36.51,RightMiddleTom,0.9500027,0.0400000,,(0/0/0)
37.55,LeftHighTom,0.9000015,0.0400000,,(0/0/0)
38.59,RightMiddleTom,1,0.0200000,,(0/0/0)
39.62,LeftHighTom,1,0.0400000,,(0/0/0)
40.64,RightMiddleTom,1,0.0400000,,(0/0/0)
42.69,RightMiddleTom,1,0.0400000,,(0/0/0)
41.69,LeftHighTom,0.9999943,0.0400000,,(0/0/0)
42.89,RightMiddleTom,0,0.0800000,,(0/0/0)
43.72,LeftHighTom,1,0.0600000,,(0/0/0)
44.77,RightMiddleTom,1,0.1000000,,(0/0/0)
45.8,LeftHighTom,1,0.1000000,,(0/0/0)
