Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
1.100021,LeftHighTom,0,0.0000000
1.775024,LeftHighTom,0,0.0000000
0.4500122,RightMiddleTom,0,0.0000000
2.450043,LeftHighTom,0,0.0000000
3.150055,RightMiddleTom,0,0.0000000
3.800064,LeftHighTom,0,0.0000000
4.500061,RightMiddleTom,0,0.0000000
5.15007,LeftHighTom,0,0.0000000
6.500092,LeftHighTom,0,0.0000000
5.850082,RightMiddleTom,0,0.0000000
7.850113,LeftHighTom,0,0.5000091
8.787613,RightMiddleTom,0.6562424,0.3750074
9.343872,LeftHighTom,0.8906174,0.2750061
9.981384,RightMiddleTom,1,0.2750061
10.53764,LeftHighTom,0,0.3375069
11.88766,LeftHighTom,0,0.3375069
12.56267,LeftHighTom,0,0.3375069
13.23767,LeftHighTom,0,0.3375069
11.35015,RightMiddleTom,0.9687614,0.3375069
13.41267,LeftHighTom,0,0.3375069
13.93768,RightMiddleTom,0,0.3375069
14.58769,LeftHighTom,0,0.3375069
15.2877,RightMiddleTom,0,0.3375069
15.93771,LeftHighTom,0,0.3375069
17.28772,LeftHighTom,0,0.3375069
16.63771,RightMiddleTom,0,0.3375069
18.63774,LeftHighTom,0,0.3375069
19.33775,RightMiddleTom,0,0.3375069
19.97527,LeftHighTom,0,0.3375069
20.66277,RightMiddleTom,0,0.3375069
21.32527,LeftHighTom,0,0.3375069
22.67529,LeftHighTom,0,0.3375069
23.36281,LeftHighTom,0,0.3375069
22.02528,RightMiddleTom,0,0.3375069
24.02531,LeftHighTom,0,0.3375069
24.71281,RightMiddleTom,0,0.3375069
25.37532,LeftHighTom,0,0.3750074
26.20034,RightMiddleTom,0.9062386,0.3750074
26.72534,LeftHighTom,0,0.3875076
28.13786,LeftHighTom,1,0.2000051
27.55035,RightMiddleTom,0.8749962,0.3375069
29.55038,LeftHighTom,0.9374809,0.2375056
30.16289,RightMiddleTom,1,0.2375056
30.76289,LeftHighTom,0,0.4375082
31.63165,RightMiddleTom,0.859375,0.4375082
32.11292,LeftHighTom,0,0.3750074
33.58167,LeftHighTom,0.9531212,0.3250067
34.26919,LeftHighTom,0.9218788,0.3500071
32.94417,RightMiddleTom,0.9218597,0.3000064
34.9192,LeftHighTom,0.9843636,0.3875076
35.65045,RightMiddleTom,0.9062576,0.3875076
36.16296,LeftHighTom,0,0.3875076
36.86298,RightMiddleTom,0,0.3875076
37.51297,LeftHighTom,0,0.3875076
38.86299,LeftHighTom,0,0.3875076
38.22548,RightMiddleTom,0,0.3875076
40.20052,LeftHighTom,0,0.5000091
41.18803,RightMiddleTom,0.5624962,0.5000091
41.53802,LeftHighTom,0,0.2625059
42.32554,RightMiddleTom,1,0.1375042
42.92554,LeftHighTom,1,0.2875062
44.30056,LeftHighTom,1,0.1750047
45.03182,LeftHighTom,0.9843636,0.3000064
43.68806,RightMiddleTom,1,0.2500057
45.68182,LeftHighTom,1,0.2625059
46.37559,RightMiddleTom,1,0.2375056
47.0256,LeftHighTom,1,0.3000064
47.73811,RightMiddleTom,1,0.2750061
48.39436,LeftHighTom,1,0.2875062
49.69437,LeftHighTom,1,0.5000091
49.08187,RightMiddleTom,1,0.5000091
50.98814,LeftHighTom,0,0.5000091
51.1444,RightMiddleTom,0,0.5000091
52.33817,LeftHighTom,0,0.5000091
53.03818,RightMiddleTom,0,0.5000091
53.68817,LeftHighTom,0,0.5000091
55.05069,LeftHighTom,0,0.5000091
55.71321,LeftHighTom,0,0.5000091
54.38818,RightMiddleTom,0,0.5000091
56.38821,LeftHighTom,0,0.5000091
57.08823,RightMiddleTom,0,0.5000091
57.73824,LeftHighTom,0,0.5000091
58.43823,RightMiddleTom,0,0.5000091
59.08824,LeftHighTom,0,0.5000091
60.42577,LeftHighTom,0,0.5000091
59.77576,RightMiddleTom,0,0.5000091
61.77577,LeftHighTom,0,0.5000091
62.53828,RightMiddleTom,0,0.5000091
63.12579,LeftHighTom,0,0.5000091
63.82581,RightMiddleTom,0,0.5000091
64.47581,LeftHighTom,0,0.5000091
