Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,LeftHighTom,0,0.0000000
0.4500113,LeftHighTom,0,0.0000000
1.812528,LeftHighTom,0,0.0000000
3.175046,LeftHighTom,0,0.0000000
3.850053,LeftHighTom,0,0.0000000
4.525062,LeftHighTom,0,0.0000000
5.875079,LeftHighTom,0,0.0000000
7.225095,LeftHighTom,0,0.0000000
8.575112,LeftHighTom,0,0.0000000
9.900128,LeftHighTom,0,0.0000000
11.26265,LeftHighTom,0,0.0000000
12.60016,LeftHighTom,0,0.0000000
13.93768,LeftHighTom,0,0.0000000
14.62519,LeftHighTom,0,0.0000000
15.3002,LeftHighTom,0,0.0000000
16.66271,LeftHighTom,0,0.0000000
18.01273,LeftHighTom,0,0.0000000
19.36275,LeftHighTom,0,0.0000000
20.70026,LeftHighTom,0,0.0000000
22.05028,LeftHighTom,0,0.0000000
23.4003,LeftHighTom,0,0.0000000
24.75031,LeftHighTom,0,0.0000000
25.42532,LeftHighTom,0,0.0000000
26.10033,LeftHighTom,0,0.0000000
27.45035,LeftHighTom,0,0.0000000
28.80036,LeftHighTom,0,0.0000000
30.13788,LeftHighTom,0,0.0000000
