x,y,z,focusItem,time
0.2239917,1.147294,-1.325906,Poster,00:05.136
0.2191778,1.140679,-1.325906,Poster,00:05.145
0.2246348,1.152657,-1.325906,Poster,00:05.156
0.2526414,1.135949,-1.325906,Poster,00:05.167
0.2637001,1.1525,-1.325906,Poster,00:05.179
0.2205252,1.141975,-1.325906,Poster,00:05.190
0.2119533,1.138713,-1.325906,Poster,00:05.201
0.2188588,1.139918,-1.325906,Poster,00:05.212
0.2189057,1.135328,-1.325906,Poster,00:05.223
0.2126407,1.137625,-1.325906,Poster,00:05.234
0.2322784,1.148583,-1.325906,Poster,00:05.244
0.2479125,1.153773,-1.325906,Poster,00:05.255
0.2337017,1.149808,-1.325906,Poster,00:05.267
0.2317269,1.153884,-1.325906,Poster,00:05.278
0.2217741,1.155975,-1.325906,Poster,00:05.289
0.2185016,1.156632,-1.325906,Poster,00:05.300
0.2099628,1.155457,-1.325906,Poster,00:05.311
0.2257843,1.163325,-1.325906,Poster,00:05.322
0.2557645,1.164481,-1.325906,Poster,00:05.333
0.2800888,1.168709,-1.325906,Poster,00:05.344
0.2858772,1.16022,-1.325906,Poster,00:05.356
0.245465,1.16492,-1.325906,Poster,00:05.366
0.2567615,1.156655,-1.325906,Poster,00:05.378
0.263739,1.153911,-1.325906,Poster,00:05.389
0.2968138,1.177012,-1.325906,Poster,00:05.399
0.2552753,1.134256,-1.325906,Poster,00:05.411
0.2895558,1.312896,-1.325906,Poster,00:05.556
0.2872535,1.295092,-1.325906,Poster,00:05.567
0.3071548,1.304992,-1.325906,Poster,00:05.578
0.3279499,1.30067,-1.325906,Poster,00:05.589
0.3251743,1.311311,-1.325906,Poster,00:05.600
0.3223609,1.319412,-1.325906,Poster,00:05.611
0.3230904,1.318294,-1.325906,Poster,00:05.622
0.3258441,1.325232,-1.325906,Poster,00:05.634
0.3198158,1.332508,-1.325906,Poster,00:05.644
0.2634354,1.328772,-1.325906,Poster,00:05.654
0.2977702,1.331947,-1.325906,Poster,00:05.667
0.3040234,1.33747,-1.325906,Poster,00:05.678
0.3022285,1.337407,-1.325906,Poster,00:05.689
0.2874236,1.336672,-1.325906,Poster,00:05.701
0.2893713,1.323378,-1.325906,Poster,00:05.711
0.2970715,1.318204,-1.325906,Poster,00:05.722
0.3037166,1.315008,-1.325906,Poster,00:05.733
0.3008421,1.312675,-1.325906,Poster,00:05.745
0.2999375,1.302938,-1.325906,Poster,00:05.755
0.2708662,1.344614,-1.325906,Poster,00:05.766
0.2944185,1.423785,-1.325906,Poster,00:05.778
0.3083302,1.557289,-1.325906,Poster,00:05.789
0.325429,1.609223,-1.325906,Poster,00:05.801
0.3476559,1.690819,-1.325906,Poster,00:05.811
0.3787794,1.745086,-1.325906,Poster,00:05.822
0.3907532,1.737746,-1.325906,Poster,00:05.834
0.3930698,1.745891,-1.325906,Poster,00:05.844
0.3872127,1.728872,-1.325906,Poster,00:05.856
0.3905206,1.724279,-1.325906,Poster,00:05.866
0.3891889,1.724174,-1.325906,Poster,00:05.877
0.38794,1.718011,-1.325906,Poster,00:05.888
0.3883283,1.712181,-1.325906,Poster,00:05.899
0.3850243,1.712747,-1.325906,Poster,00:05.912
0.3802527,1.701498,-1.325906,Poster,00:05.922
