x,y,z,focusItem,time
-0.04771708,0.7089114,0.8581148,,00:03
0.07027619,0.9204595,2.605238,Drumming Partner,00:03
0.06040173,0.2239526,2.605238,Drumming Partner,00:03
-0.01438364,0.1796112,2.605238,Drumming Partner,00:03
0.1059278,0.9666329,2.611283,Drumming Partner,00:03
0.07774314,0.9036955,2.605238,Drumming Partner,00:03
0.07224846,0.9044009,2.605238,Drumming Partner,00:03
0.05403636,0.9004592,2.605238,Drumming Partner,00:03
0.05183302,0.9077199,2.605238,Drumming Partner,00:03
0.02664938,0.8779227,2.605238,Drumming Partner,00:03
0.02805864,0.9146104,2.605238,Drumming Partner,00:03
-0.05390429,0.9666329,2.617542,Drumming Partner,00:03
-0.03952838,0.9496814,2.605238,Drumming Partner,00:03
-0.1466669,0.1571048,2.605238,Drumming Partner,00:03
-0.1395425,0.8359229,0.8133332,,00:03
-0.01640341,1.193051,3.077003,Drumming Partner,00:03
-0.189442,0.8706797,0.8816363,,00:03
0.004627112,1.245232,3.077003,Drumming Partner,00:03
-0.1120567,1.187711,3.077003,Drumming Partner,00:03
-0.2921973,0.525526,2.605238,Drumming Partner,00:03
-0.08702347,1.163231,3.077003,Drumming Partner,00:03
-0.06574704,0.4816958,2.605238,Drumming Partner,00:03
-0.09242874,1.133257,3.077003,Drumming Partner,00:03
-0.1744944,0.8166766,2.605238,Drumming Partner,00:03
-0.2905798,0.4647191,2.605238,Drumming Partner,00:03
-0.09442446,1.114192,3.077003,Drumming Partner,00:03
-0.2777398,0.4738555,2.605238,Drumming Partner,00:03
-0.1134194,1.133233,3.077003,Drumming Partner,00:03
-0.1299499,1.13357,3.077003,Drumming Partner,00:03
-0.1193946,1.122776,3.077003,Drumming Partner,00:03
-0.1150189,1.138053,3.077003,Drumming Partner,00:03
-0.1275176,1.132785,3.077003,Drumming Partner,00:03
-0.1430726,1.140994,3.077003,Drumming Partner,00:03
-0.1189216,1.187647,3.077003,Drumming Partner,00:03
-0.1195961,1.192385,3.077003,Drumming Partner,00:03
-0.1198044,1.143366,3.077003,Drumming Partner,00:03
0.01221429,0.1548828,2.605238,Drumming Partner,00:06
0.04024389,0.8365171,2.605238,Drumming Partner,00:06
0.01147498,0.8727776,2.605238,Drumming Partner,00:06
0.02332328,0.9508209,2.605238,Drumming Partner,00:06
0.01114088,1.019811,3.077003,Drumming Partner,00:06
0.02176744,0.9737648,3.077003,Drumming Partner,00:06
0.06223553,0.9834672,3.077003,Drumming Partner,00:06
0.03476289,0.9666329,2.750697,Drumming Partner,00:06
1.744349,0.4818561,4.94,Window Wall,00:06
1.747951,0.519308,4.202393,TV Area,00:06
1.747951,0.6448208,3.510022,TV Area,00:06
1.747951,0.6973836,2.965626,TV Area,00:06
1.747951,0.7010005,2.655926,TV Area,00:06
1.747951,0.6945614,2.708209,TV Area,00:06
1.747951,0.7005337,2.685947,TV Area,00:06
1.747951,0.670283,2.608847,TV Area,00:06
1.747951,0.6950156,2.582286,TV Area,00:06
1.747951,0.7118428,2.546432,TV Area,00:06
1.747951,0.7323389,2.525337,TV Area,00:06
1.747951,0.7310085,2.562352,TV Area,00:06
1.747951,0.753914,2.476958,TV Area,00:06
1.747951,0.7395096,2.485116,TV Area,00:06
1.747951,0.7104566,2.461777,TV Area,00:06
1.747951,0.7064693,2.388223,Wine Rack,00:06
1.747951,0.7210829,2.370767,Wine Rack,00:06
1.747951,0.6813219,2.436195,Wine Rack,00:06
1.747951,0.6903385,2.424048,Wine Rack,00:06
1.747951,0.7140539,2.371929,Wine Rack,00:06
1.747951,0.7355056,2.284728,Wine Rack,00:06
1.747951,0.8371763,1.948591,Wine Rack,00:06
1.747951,1.001563,1.50446,Wine Rack,00:06
1.747951,1.030907,1.397782,Wine Rack,00:06
1.747951,1.042963,1.392938,Wine Rack,00:06
1.747951,1.022792,1.471089,Wine Rack,00:07
1.747951,1.025783,1.464419,Wine Rack,00:07
1.747951,1.018257,1.512374,Wine Rack,00:07
1.747951,0.9852307,1.539371,Wine Rack,00:07
1.747951,1.003205,1.539862,Wine Rack,00:07
1.747951,1.008256,1.530007,Wine Rack,00:07
1.747951,0.987161,1.557199,Wine Rack,00:07
1.747951,0.9900958,1.542456,Wine Rack,00:07
1.747951,1.004468,1.531575,Wine Rack,00:07
1.747951,1.013028,1.522241,Wine Rack,00:07
1.747951,1.004023,1.528182,Wine Rack,00:07
1.747951,1.009656,1.516163,Wine Rack,00:07
1.747951,0.9937559,1.547546,Wine Rack,00:07
1.747951,1.000123,1.525876,Wine Rack,00:07
1.747951,1.00769,1.522108,Wine Rack,00:07
1.747951,1.014939,1.55715,Wine Rack,00:07
1.747951,1.012246,1.531441,Wine Rack,00:07
1.747951,1.041082,1.534063,Wine Rack,00:07
1.747951,1.017918,1.539355,Wine Rack,00:07
1.747951,1.025838,1.540462,Wine Rack,00:07
1.747951,1.015445,1.51182,Wine Rack,00:07
1.747951,1.011268,1.563326,Wine Rack,00:07
1.747951,0.9979333,1.552079,Wine Rack,00:07
1.747951,1.006685,1.578877,Wine Rack,00:07
1.747951,0.9995639,1.578351,Wine Rack,00:07
1.747951,0.987296,1.580963,Wine Rack,00:07
1.747951,1.010234,1.590038,Wine Rack,00:07
1.747951,0.9958237,1.633061,Wine Rack,00:07
1.747951,0.999168,1.619355,Wine Rack,00:07
1.747951,0.9845947,1.622116,Wine Rack,00:07
1.747951,1.015846,1.62107,Wine Rack,00:07
1.747951,1.000101,1.634886,Wine Rack,00:07
1.747951,1.009003,1.63401,Wine Rack,00:07
1.747951,1.005271,1.663635,Wine Rack,00:07
1.747951,0.9954556,1.675122,Wine Rack,00:07
1.747951,0.9779292,1.675993,Wine Rack,00:07
1.747951,0.9693685,1.684241,Wine Rack,00:07
1.747951,0.9757688,1.694856,Wine Rack,00:07
1.747951,0.9789127,1.708742,Wine Rack,00:07
1.747951,0.9640154,1.710997,Wine Rack,00:07
1.747951,0.9931129,1.740113,Wine Rack,00:07
1.747951,1.059898,1.779245,Wine Rack,00:07
1.747951,1.192328,1.753005,Wine Rack,00:07
1.747951,1.182601,1.770021,Wine Rack,00:07
1.747951,1.169734,1.777968,Wine Rack,00:07
1.747951,1.159792,1.766747,Wine Rack,00:07
1.747951,1.175304,1.725906,Wine Rack,00:07
