x,y,z,focusItem,time
-0.1273207,0.9666329,3.002984,Drumming Partner,00:06
-0.1076002,0.9666329,3.069888,Drumming Partner,00:06
-0.09473579,0.9666329,2.883062,Drumming Partner,00:06
-0.05596628,0.9666329,2.818865,Drumming Partner,00:06
-0.07764995,0.9666329,2.902601,Drumming Partner,00:06
-0.01715022,0.9747493,3.077003,Drumming Partner,00:06
0.1702132,0.9683397,3.077003,Drumming Partner,00:06
1.061437,0.8521,5,Barn (In Front),00:06
1.647746,0.8541757,5,Barn (In Front),00:06
2.211402,1.002111,5,Barn (In Front),00:06
3.068914,0.9706359,5,Barn (In Front),00:06
3.222874,1.012417,5,Barn (In Front),00:06
3.056292,1.081746,5,Barn (In Front),00:06
3.204247,1.081308,5,Barn (In Front),00:06
3.255363,1.053205,5,Barn (In Front),00:06
3.206047,1.086091,5,Barn (In Front),00:06
3.034128,1.0024,5,Barn (In Front),00:06
3.089391,0.9225862,5,Barn (In Front),00:06
3.152182,1.037919,5,Barn (In Front),00:06
3.057665,0.9503255,5,Barn (In Front),00:06
3.04703,0.9167995,5,Barn (In Front),00:06
3.070486,1.020236,5,Barn (In Front),00:06
2.893044,0.9745841,5,Barn (In Front),00:06
2.860184,1.026521,5,Barn (In Front),00:06
2.806101,1.123018,5,Barn (In Front),00:06
2.657082,1.077639,5,Barn (In Front),00:06
2.668243,1.076021,5,Barn (In Front),00:06
2.61128,1.063576,5,Barn (In Front),00:06
2.565381,1.030539,5,Barn (In Front),00:06
2.517489,1.042701,5,Barn (In Front),00:06
2.434739,1.034147,5,Barn (In Front),00:06
2.381823,1.002777,5,Barn (In Front),00:06
2.365792,1.002844,5,Barn (In Front),00:06
2.326838,1.012058,5,Barn (In Front),00:06
2.326245,0.9644974,5,Barn (In Front),00:06
2.284418,0.9638009,5,Barn (In Front),00:06
2.273976,0.9032617,5,Barn (In Front),00:06
2.267881,0.9526578,5,Barn (In Front),00:06
2.236572,0.9252084,5,Barn (In Front),00:06
2.238217,0.9481168,5,Barn (In Front),00:06
2.298882,0.9015907,5,Barn (In Front),00:06
2.294411,0.8806221,5,Barn (In Front),00:06
2.279844,0.8953726,5,Barn (In Front),00:06
2.126634,0.9386952,5,Barn (In Front),00:06
2.108578,0.9359713,5,Barn (In Front),00:06
2.070112,0.9607668,5,Barn (In Front),00:06
2.113033,0.9458833,5,Barn (In Front),00:06
2.1205,0.9803534,5,Barn (In Front),00:06
2.055007,0.9889255,5,Barn (In Front),00:06
2.081549,0.9229383,5,Barn (In Front),00:06
2.051404,0.9330707,5,Barn (In Front),00:06
2.044745,0.96591,5,Barn (In Front),00:06
2.013973,0.9233837,5,Barn (In Front),00:06
2.090731,0.9099163,5,Barn (In Front),00:06
2.135236,0.9553998,5,Barn (In Front),00:07
2.124266,0.9722667,5,Barn (In Front),00:07
2.143383,0.9709804,5,Barn (In Front),00:07
2.167893,1.000457,5,Barn (In Front),00:07
2.238017,0.9620757,5,Barn (In Front),00:07
2.194403,0.9388683,5,Barn (In Front),00:07
2.154461,0.9256197,5,Barn (In Front),00:07
2.213275,1.033798,5,Barn (In Front),00:07
2.208259,0.9882243,5,Barn (In Front),00:07
2.264209,1.194303,5,Barn (In Front),00:07
2.362,1.093072,5,Barn (In Front),00:07
2.411374,1.093308,5,Barn (In Front),00:07
2.384388,1.137834,5,Barn (In Front),00:07
2.45399,1.078433,5,Barn (In Front),00:07
2.441249,1.113227,5,Barn (In Front),00:07
2.429717,1.110159,5,Barn (In Front),00:07
2.459163,1.160957,5,Barn (In Front),00:07
2.482747,1.111753,5,Barn (In Front),00:07
